YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1969,-3.2,-1.4,0.7,0.3,-0.8,0.1,-0.7,-0.2,-2.0,-0.9,0.1,0.2
1970,-0.5,-1.4,-0.1,-0.0,-0.2,0.6,-0.3,-0.3,-0.0,-0.1,1.3,1.2
1971,-0.2,1.2,1.7,1.1,0.4,0.7,-0.5,1.0,1.0,1.6,0.3,-1.0
1972,-0.0,0.2,-0.4,0.4,-0.6,-1.0,-2.1,-0.4,-0.9,0.2,0.2,-0.1
1973,0.1,-0.9,-0.1,-0.7,0.1,0.0,0.1,0.4,1.2,0.6,1.4,2.3
1974,1.6,1.2,1.4,0.6,1.1,0.2,1.1,0.2,0.7,0.5,-1.3,-0.8
1975,-1.1,1.4,1.0,0.1,0.1,0.7,1.6,1.4,1.7,1.1,1.1,1.7
1976,0.8,1.5,0.4,0.5,1.1,0.1,-0.9,-0.6,-1.3,-0.1,0.2,-1.4
1977,-1.4,0.9,-1.1,-1.2,-1.0,-1.0,-1.7,-1.1,-0.7,-0.3,-1.1,-1.1
1978,0.8,-2.5,0.7,-0.3,0.3,-0.6,-1.0,-0.6,-0.5,-0.7,0.2,-0.1
1979,-1.3,1.6,-0.2,-0.4,0.5,0.7,0.1,-0.4,-0.3,0.0,-0.6,-0.2
1980,-0.0,0.0,-1.7,-1.2,-0.2,-0.4,-0.3,0.6,-0.4,-0.1,-0.4,-0.2
1981,-0.8,-0.8,-0.7,-0.2,0.4,0.7,-0.1,0.3,-0.1,-0.3,-0.2,0.9
1982,1.6,0.6,0.2,0.3,-0.2,-0.8,-1.5,-1.7,-1.3,-1.2,-2.3,-2.0
1983,-3.0,-2.9,-2.4,-1.3,1.1,0.4,-0.1,0.9,1.3,0.5,0.5,1.0
1984,0.7,0.0,-0.6,0.8,-0.0,-0.3,0.1,-0.4,-0.2,-0.1,0.8,-2.2
1985,0.2,0.7,-0.8,-0.2,-1.2,-0.9,-0.0,0.7,-0.7,-0.7,-0.7,0.6
1986,-0.2,-1.6,0.8,-0.0,-0.3,-0.1,-0.1,-1.9,-0.8,1.2,-1.6,-0.3
1987,-0.7,-1.6,0.0,-0.8,-1.1,-1.6,-1.1,-0.7,-0.6,-0.2,-0.0,-0.4
1988,0.8,-0.8,-0.3,0.4,0.9,1.0,1.1,1.7,1.5,0.8,1.4,1.2
1989,1.4,2.0,0.8,0.6,0.8,1.1,0.2,-0.5,0.3,0.5,-0.6,0.5
1990,0.1,-0.1,-0.8,0.1,0.9,0.0,0.3,-0.2,-0.2,0.6,-0.6,-0.1
1991,0.7,0.1,-0.1,-1.0,-0.7,0.1,-0.0,-0.1,-1.5,-1.4,-0.0,-1.9
1992,-1.6,-0.7,-1.4,-0.7,0.1,-1.4,0.3,0.1,-0.8,-1.9,-0.6,-1.0
1993,-1.4,-1.6,0.8,-0.6,0.3,-0.5,-1.3,-0.0,-0.1,-0.7,-0.0,-0.0
1994,-0.2,0.1,-0.1,-1.3,-0.6,-0.8,-1.6,-0.6,-1.5,-0.9,-0.1,-0.3
1995,-0.4,0.7,0.2,-1.4,-0.5,0.3,0.1,0.4,0.2,-0.5,-0.0,-0.7
1996,0.8,-0.1,1.0,0.5,1.1,1.5,0.2,0.4,-0.7,0.0,-0.6,-0.1
1997,1.4,1.0,-0.5,0.8,-1.8,-0.7,-0.5,-0.8,-0.1,-0.1,0.2,-0.5
1998,-3.4,-0.3,-2.5,-1.3,0.4,0.8,1.2,1.3,1.1,0.7,0.2,0.9
1999,1.4,1.0,0.3,1.2,1.0,0.6,0.7,1.1,0.1,1.2,0.9,1.6
2000,1.1,2.5,1.4,0.8,0.8,0.2,-0.6,0.1,1.2,0.3,0.9,-0.9
2001,2.1,-0.2,1.1,-0.1,-0.2,-0.1,-0.4,-0.8,-0.1,-0.9,0.7,-1.1
2002,1.2,1.5,0.3,-0.0,-0.8,-0.2,0.2,-1.3,-0.3,-0.9,0.1,-0.3
2003,-0.1,-1.3,-0.3,0.3,-0.5,-0.9,0.5,-0.2,-0.3,-0.4,-0.1,0.8
2004,-1.4,1.5,-0.7,-0.8,0.9,0.0,-0.4,-0.4,0.2,0.2,-0.8,-1.4
2005,0.2,-3.2,0.7,0.1,-0.5,-0.0,0.1,-0.4,0.3,1.2,-0.8,0.2
2006,0.9,0.7,1.0,-0.2,-0.3,0.1,-0.1,-0.6,-0.0,-0.1,1.0,0.7
2007,-1.3,0.1,-0.2,0.4,0.1,-0.4,0.2,0.7,-0.4,0.5,0.2,1.5
2008,1.3,2.4,2.4,1.1,0.5,1.1,0.4,1.8,1.6,2.3,1.5,1.6
2009,1.2,1.6,0.8,0.8,-1.0,-0.0,0.1,-0.7,-0.3,-1.4,-1.0,-0.7
2010,-2.5,-1.6,-0.6,1.7,0.3,0.8,2.0,1.9,2.4,1.5,1.8,2.5
2011,2.4,2.9,2.3,2.2,1.1,0.9,1.4,0.9,2.0,0.8,1.5,1.9
2012,1.2,1.1,-0.7,0.3,-0.1,-0.4,-0.6,0.3,0.3,0.6,0.8,-0.7
2013,-0.9,-0.0,1.4,0.2,0.7,0.4,0.4,0.1,-0.0,-0.1,0.1,0.4
2014,0.8,-0.7,-0.9,0.4,1.1,-0.1,0.2,-0.2,-0.4,-0.2,-0.6,-0.8
2015,-1.5,1.3,-0.7,0.5,0.3,-0.6,-0.5,-1.1,-1.2,-0.1,-0.3,-1.3
2016,-0.4,-1.6,0.7,-1.2,0.2,0.4,0.4,0.3,0.9,-0.8,-0.3,-0.1
2017,-0.3,0.1,0.7,-0.5,0.6,-0.2,1.0,0.5,1.0,0.3,0.2,-0.3
2018,0.1,-0.7,0.4,0.5,1.2,0.5,-0.2,-0.8,-1.5,0.8,0.3,0.6
2019,0.1,-0.3,-0.4,0.4,0.1,0.0,0.1,0.6,0.1,-0.1,-0.6,-0.0
2020,0.8,0.4,0.5,0.8,1.5,-0.7,0.1,1.0,0.9,0.1,1.2,2.2
2021,2.2,0.8,0.4,0.4,0.6,0.8,1.3,1.0,1.1,0.2,1.0,1.6
2022,0.7,1.9,2.2,1.6,1.4,1.6,1.0,0.6,1.8,1.4,0.2,1.9
2023,1.6,0.9,0.4,-0.3,-0.3,0.3,0.2,0.2,-0.8,1.1,-0.1,0.1
2024,0.3,-1.0,0.6,-0.2,0.9,0.7,-0.6,1.5,-0.5,0.7-999.9-999.9,,
