month,APCP_sfc_period1,APCP_sfc_specific_year,percentage_difference
1,67.44097222222251,0.3593750000000819,-99.46712660248147
2,61.31423611111149,0.5546875,-99.09533652348728
3,59.79166666666723,3.0625000000002114,-94.8780487804875
4,60.59548611111177,60.64062500000038,0.07449216399690078
5,72.07465277777813,100.3515625,39.23280741900451
6,69.56770833333358,107.29687500000047,54.23373512016183
7,69.777777777778,54.01562500000195,-22.589072452226755
8,59.37673611111139,12.671875000000284,-78.65851875676113
9,68.60677083333694,1.0312500000000002,-98.49686847599173
10,74.69010416666733,1.0156250000001488,-98.64021477633258
11,57.804687500000306,0.15625000000029177,-99.72969320178352
12,54.59288194444497,74.5625000000003,36.57916077022073
